"SA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Personal income (thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"23000","Maine",477736,458645,397004,309554,306175,346557,363522,427439,432328,401170,422594,451880,546203,731163,907378,903629,882645,959156,1009987,1103243,1084145,1111266,1232919,1348940,1358229,1382785,1521612,1612286,1676341,1747120,1824506,1935513,1961797,2039643,2106111,2274177,2456536,2612437,2741660,2921436,3217148,3530087,3790516,4151378,4663075,5177766,5579554,6378036,6931931,7663100,8517303,9584669,10586283,11464150,12294408,13639159,14708268,15970626,17383822,19127295,20817675,21654835,21995830,23022871,23767774,24763124,25878824,27358122,28858308,30876061,32458107,34921210,36849361,38155280,40067729,42132540,43083415,45402329,47187502,49226384,49130870,49827077,51714022,52877607,52724616,54763126,56928613,58655433,60211912
"24000","Maryland",1256418,1178774,1070577,875245,803423,908054,964784,1093243,1182505,1136351,1207103,1328545,1716514,2327182,2777299,2929691,2895214,3013640,3126558,3511304,3585348,4005631,4621476,5092687,5425315,5456784,5878647,6423191,6837619,6971540,7361845,7740647,8240291,8904690,9541251,10406343,11347454,12521403,13632167,15059507,17270064,19210265,21174070,23219752,25571575,27927911,30272447,32913004,35682786,39666413,43606569,48538857,53951891,58495108,62780435,69611724,75637475,81682411,88108956,96766594,104489827,110720316,114751265,120564540,125464844,131220905,136887889,143275374,151291853,163085559,173346881,188470846,198998650,205604275,214734120,230472764,242159114,257913392,267773656,280994770,279900870,288737386,304387669,314159795,312369522,322608872,337212412,349266576,360250668
"25000","Massachusetts",3852924,3577821,3253120,2646805,2428136,2656958,2835758,3155358,3235135,2980157,3196918,3421601,4053160,4831337,5543523,5800631,5957378,6458659,6695099,7169512,7121839,7911359,8655830,9045084,9592068,9701314,10346617,10981768,11603613,11867468,12663332,13193427,13866680,14654016,15237382,16267327,17348525,18688058,20299682,22173205,24151557,26093306,27884416,30122067,32658962,35287455,37985397,40803404,44419277,49083173,54589962,61455326,68461988,75054202,81578422,92019548,99606265,107410509,116375406,127991216,134970796,139000167,141238542,148539497,154466285,162148912,171547003,182447254,193952126,206398097,220155896,245201225,255544975,255764186,262071401,274807343,287134553,309652139,324259926,338218622,335086775,348325560,365190182,380785092,383509900,400244845,426359872,437551353,451994165
"26000","Michigan",3795607,3178111,2592612,1885359,1661212,2179062,2571734,3035334,3415119,2904500,3239748,3632012,4559898,5874541,7400051,7658154,7334551,7866806,8956659,9690548,9634178,10994905,12312257,13184086,14993087,14614792,16237553,16941407,17417933,17079633,18076327,18837597,18912124,20272536,21650297,23749771,26372945,28754364,29956184,33115209,35930901,37166325,40419874,44882437,50073719,53567368,57302941,64001599,71984775,80263659,87967096,94142514,100693108,103937962,110447808,122143721,132507384,141065411,146705873,156538879,168621581,176444356,180155777,191165165,201354672,216514159,228975422,241000500,253799739,269316721,283455635,302464029,307585685,307775244,314347960,323453268,329803615,337588867,346957762,354545792,336321819,347723348,369367635,382627062,388175044,404864143,427199321,439361467,450847081
"27000","Minnesota",1528678,1409297,1193739,956101,828776,967632,1219270,1294506,1477208,1357304,1432474,1460595,1675858,2126394,2454717,2553234,2833892,3267502,3556826,4154321,3909750,4324200,4787152,4984619,5262770,5425650,5741618,6015113,6384595,6747297,6999809,7434597,7820322,8240507,8742367,9098218,10056861,10903841,11716124,12897459,14345217,15639973,16680898,18131659,21241112,22866034,24735777,26719839,30082297,33748603,37547231,41697467,46202501,49470144,52085956,59084082,62698124,66395130,70827147,74630070,81661558,86895595,89548001,96321351,99215504,106426113,112631122,121486713,128314666,139637164,146855175,159096888,165450224,169411366,177754072,188490101,193390784,203478772,214836931,225518558,215149426,223700193,238638075,254020529,256039772,268529945,280406484,287249809,295798390
"28000","Mississippi",552753,395774,337411,244769,256911,342386,358748,460749,458126,416807,436256,460954,690084,1005963,1245876,1360020,1329569,1281366,1410525,1656140,1480866,1697040,1872552,1982546,2012926,1958033,2208231,2251740,2278589,2470880,2737371,2774532,3005878,3136382,3445900,3566493,3876351,4229277,4572377,4998486,5534346,6064385,6718511,7653682,8743228,9609803,10424635,11820319,13153529,14647559,16553596,17998291,20205005,21340298,22336974,24400947,25725576,26678772,28202012,30162096,32651634,34267522,36072135,38903231,41442376,44847540,47381736,50290838,53121279,56289949,58160798,61339361,64911727,65905820,68443211,72400140,77222001,80500778,85615593,90094129,88174096,90800430,94576285,98264480,99663477,102378364,103901356,106052785,108459722
"29000","Missouri",2240459,2041241,1813990,1365452,1260656,1391453,1596860,1774708,1925360,1798417,1906128,1968020,2464343,3132369,3618202,3848481,4029174,4511155,4733809,5290846,5169744,5698386,6322467,6681185,7088417,7141518,7647478,8070172,8303107,8838112,9358168,9638361,9967058,10494606,11012792,11632206,12650924,13551906,14416159,15951063,16884221,18437396,19898453,21643396,24037988,25725396,28177729,30858137,34195610,38083133,42467120,46090765,51466552,54991252,58675314,65050681,69635804,73376484,77319358,82003345,87798850,91773727,95972532,102405335,107142686,113502853,119307169,126395827,134265735,140934839,146737008,156903173,162089578,165486900,172068839,181545945,187778625,199490640,209373311,220897747,217131669,220251923,229108112,240120072,240825428,249234791,257514867,261547770,266920797
"30000","Montana",310237,269952,208719,180549,161784,198884,261194,264958,284529,284143,294366,315656,384231,469558,557804,557961,578114,673437,784643,888036,814937,994650,1092136,1115826,1134580,1127637,1230507,1293492,1356629,1413607,1388521,1446413,1449885,1696525,1687045,1722985,1852500,1986666,2025582,2122790,2353692,2608573,2791927,3235011,3747805,4073898,4490489,4815011,5207027,6105886,6559567,7210173,8185714,8627306,9090637,9613235,9761494,10152794,10434021,10714600,11815126,12429218,13256187,14106136,15256962,15671892,16533795,17308965,18044406,19278739,19763448,21071643,22053487,22725980,24262268,26159065,27982487,30304534,32610254,34611922,33768763,35125691,37698478,40027400,40074179,41676292,43844378,44772870,46123674
"31000","Nebraska",802603,703685,565693,419011,378161,364269,555956,535493,553668,532517,525411,578280,697189,1024357,1270746,1336381,1447465,1491333,1607414,1957358,1773084,2102154,2195318,2357533,2250265,2406175,2326694,2400843,2784392,2920655,2952376,3141354,3215128,3492509,3588498,3686850,4053582,4354014,4508401,4809948,5392547,5810184,6379847,7064041,8233786,8580634,9809330,10245780,11101506,12842775,13848556,14761594,17127803,18435447,19113083,21224174,22366484,23031245,24074574,25715284,27268495,29214345,30327262,32255233,33310646,35399363,37420622,40752615,41937191,44762109,46794157,49512086,51649982,52771054,56076719,58506442,60120755,62951389,67917175,72300017,71103994,74149336,82656406,85485324,85722866,91082845,93868240,95411344,96762103
"32000","Nevada",78622,76711,62502,53448,47907,54840,66670,85331,79815,82427,92458,101905,122157,221306,235585,236577,243730,259301,267207,279386,289670,334214,384371,450099,495773,535226,622234,649238,696462,737174,807317,883612,978410,1170203,1316740,1425527,1525668,1607834,1706746,1991653,2256915,2534085,2831306,3161804,3582008,3970562,4478263,5094225,5899270,7128031,8270217,9565424,10882149,11641320,12367311,13493387,14709192,15912885,17403811,19785829,22278166,24994589,27487103,30503405,32961951,36518231,40086322,44341628,48512959,53873615,58542856,64403145,68307123,70519000,75123100,83711491,93970899,100730483,104399125,103001444,97399708,99534123,103259252,107930003,108503500,115355475,124341475,128089633,133789414
